LO_Power,25
IF_volt,0.75
Note: 
LO_F,IF_F,q,phase,dc_i,dc_q,H-1,H0,H1,H2,H3
9000000000.0,50000000.0,0.9756333333333334,97.50000000000001,-0.03533333333333334,0.059333333333333335,-63.925,-62.93333333333333,-10.464,-65.45666666666666,-64.98333333333333
9000000000.0,100000000.0,0.9779000000000001,97.50000000000001,-0.03533333333333334,0.058,-68.34666666666666,-66.99166666666667,-12.474,-66.95666666666666,-67.10666666666667
9000000000.0,150000000.0,0.9801666666666667,97.41666666666666,-0.036666666666666674,0.058,-67.438,-63.802,-12.06,-67.81066666666668,-68.29333333333334
9000000000.0,200000000.0,0.9779000000000001,97.08333333333333,-0.036666666666666674,0.058,-66.97866666666667,-66.69366666666667,-11.779,-67.417,-66.09
9000000000.0,250000000.0,0.9694,96.75,-0.036666666666666674,0.058,-68.05533333333334,-66.869,-12.147,-66.49533333333333,-62.123
9000000000.0,300000000.0,0.9626,97.08333333333333,-0.036666666666666674,0.058,-65.06233333333333,-66.817,-12.776,-64.61733333333333,-58.029
9000000000.0,350000000.0,0.9575,97.16666666666669,-0.036666666666666674,0.058,-65.52666666666667,-67.39033333333333,-12.381,-61.04866666666667,-58.144
9000000000.0,400000000.0,0.9552333333333334,97.50000000000001,-0.036666666666666674,0.058,-64.86566666666667,-67.54766666666667,-12.751,-58.48166666666667,-58.06733333333333
9000000000.0,450000000.0,0.9518333333333334,97.50000000000001,-0.036666666666666674,0.058,-65.15166666666666,-67.39066666666666,-12.629,-55.283,-57.287333333333336
9000000000.0,500000000.0,0.9467333333333333,97.83333333333334,-0.03533333333333334,0.059333333333333335,-66.58266666666667,-66.87533333333333,-12.929,-52.611333333333334,-57.347
9100000000.0,50000000.0,0.9801666666666667,97.08333333333333,-0.023666666666666676,0.05266666666666667,-64.69333333333333,-64.292,-9.946,-65.00866666666667,-65.835
9100000000.0,100000000.0,0.9779000000000001,96.75,-0.023666666666666676,0.05266666666666667,-66.75866666666667,-65.57133333333333,-11.777,-66.821,-67.92633333333333
9100000000.0,150000000.0,0.9750666666666666,96.58333333333333,-0.02500000000000001,0.05266666666666667,-65.30633333333333,-65.45266666666666,-12.153,-68.28833333333333,-68.84966666666666
9100000000.0,200000000.0,0.9660000000000001,96.25,-0.023666666666666676,0.05266666666666667,-65.67033333333333,-64.112,-12.594,-66.49233333333333,-67.66433333333333
9100000000.0,250000000.0,0.9586333333333334,96.58333333333333,-0.02500000000000001,0.05266666666666667,-67.69766666666668,-64.49,-12.051,-66.615,-61.95166666666667
9100000000.0,300000000.0,0.9575,96.75,-0.023666666666666676,0.051333333333333335,-67.66233333333334,-64.41366666666667,-12.324,-64.045,-58.29166666666667
9100000000.0,350000000.0,0.9552333333333334,97.08333333333333,-0.02500000000000001,0.051333333333333335,-64.65566666666666,-67.04133333333334,-12.166,-59.693,-59.345
9100000000.0,400000000.0,0.9541000000000001,96.75,-0.02500000000000001,0.05266666666666667,-63.034,-65.14433333333334,-12.429,-57.19233333333334,-58.407999999999994
9100000000.0,450000000.0,0.9433333333333332,97.08333333333333,-0.02500000000000001,0.05266666666666667,-65.382,-67.152,-12.398,-54.221666666666664,-57.355666666666664
9100000000.0,500000000.0,0.9353999999999999,97.50000000000001,-0.023666666666666676,0.05266666666666667,-67.26533333333333,-67.82433333333333,-12.586,-51.862,-56.07966666666666
9200000000.0,50000000.0,0.9767666666666667,96.25,-0.023666666666666676,0.036000000000000004,-66.338,-66.67566666666666,-11.945,-66.97766666666666,-67.58766666666666
9200000000.0,100000000.0,0.9716666666666667,96.25,-0.023666666666666676,0.036000000000000004,-64.175,-67.86999999999999,-12.474,-67.63199999999999,-67.24666666666667
9200000000.0,150000000.0,0.9637333333333334,95.91666666666667,-0.023666666666666676,0.036000000000000004,-66.92099999999999,-67.07466666666666,-12.106,-67.39066666666666,-66.25866666666667
9200000000.0,200000000.0,0.9620333333333333,96.25,-0.023666666666666676,0.034666666666666665,-66.28,-67.12933333333334,-12.41,-66.40433333333333,-66.08033333333333
9200000000.0,250000000.0,0.9597666666666667,96.25,-0.023666666666666676,0.034666666666666665,-67.75633333333333,-68.22133333333333,-12.046,-65.88166666666667,-62.86
9200000000.0,300000000.0,0.9552333333333334,96.25,-0.023666666666666676,0.034666666666666665,-65.962,-66.267,-12.119,-62.87066666666667,-59.08866666666667
9200000000.0,350000000.0,0.9495666666666668,95.91666666666667,-0.02500000000000001,0.036000000000000004,-66.68866666666666,-64.26466666666667,-12.046,-59.07066666666667,-59.505
9200000000.0,400000000.0,0.9433333333333332,95.91666666666667,-0.023666666666666676,0.036000000000000004,-67.80233333333334,-66.843,-12.132,-58.016666666666666,-60.784
9200000000.0,450000000.0,0.9376666666666665,96.58333333333333,-0.023666666666666676,0.036000000000000004,-66.03766666666667,-66.48666666666666,-12.491,-54.327,-57.839
9200000000.0,500000000.0,0.9314333333333332,97.08333333333333,-0.023666666666666676,0.036000000000000004,-66.92399999999999,-67.83333333333334,-13.002,-52.513666666666666,-58.785
9300000000.0,50000000.0,0.9767666666666667,95.41666666666667,-0.038666666666666676,0.06733333333333333,-65.69333333333333,-65.39233333333333,-11.796,-66.52333333333333,-68.13666666666667
9300000000.0,100000000.0,0.9779000000000001,95.08333333333334,-0.038666666666666676,0.06633333333333333,-63.93633333333333,-67.518,-12.178,-67.089,-67.36233333333332
9300000000.0,150000000.0,0.9801666666666667,95.0,-0.038666666666666676,0.06633333333333333,-65.79933333333334,-66.819,-11.959,-66.90066666666667,-67.36166666666666
9300000000.0,200000000.0,0.9739333333333333,94.66666666666667,-0.04000000000000001,0.06633333333333333,-67.02833333333334,-67.65433333333333,-12.18,-67.51066666666667,-66.684
9300000000.0,250000000.0,0.9682666666666667,94.5,-0.04033333333333334,0.06633333333333333,-67.44800000000001,-67.10799999999999,-11.842,-67.96133333333334,-64.807
9300000000.0,300000000.0,0.9609000000000001,94.66666666666667,-0.04033333333333334,0.06633333333333333,-66.456,-66.88266666666667,-11.759,-63.855,-61.343333333333334
9300000000.0,350000000.0,0.9552333333333334,94.66666666666667,-0.04033333333333334,0.06633333333333333,-66.859,-68.036,-12.068,-60.364666666666665,-62.260333333333335
9300000000.0,400000000.0,0.9541000000000001,95.0,-0.04033333333333334,0.06633333333333333,-64.997,-67.026,-12.478,-57.078,-61.961999999999996
9300000000.0,450000000.0,0.9518333333333334,95.0,-0.04000000000000001,0.06633333333333333,-66.22633333333333,-67.37766666666667,-12.553,-54.904333333333334,-61.502
9300000000.0,500000000.0,0.9433333333333332,95.0,-0.04000000000000001,0.06799999999999999,-67.41133333333333,-67.22466666666666,-13.039,-52.571999999999996,-60.558
9400000000.0,50000000.0,0.9858333333333333,94.5,-0.04233333333333334,0.08299999999999999,-67.667,-63.13033333333333,-11.874,-67.69466666666666,-67.27366666666667
9400000000.0,100000000.0,0.9824333333333334,94.16666666666667,-0.04366666666666667,0.08166666666666667,-65.79366666666667,-66.96833333333333,-12.027,-65.22466666666666,-67.744
9400000000.0,150000000.0,0.9779000000000001,94.16666666666667,-0.04366666666666667,0.08233333333333331,-69.396,-68.417,-11.812,-66.958,-67.70733333333334
9400000000.0,200000000.0,0.9750666666666666,94.16666666666667,-0.04366666666666667,0.08233333333333331,-66.278,-67.52866666666667,-12.008,-67.00766666666667,-66.095
9400000000.0,250000000.0,0.9739333333333333,94.16666666666667,-0.04366666666666667,0.08233333333333331,-64.138,-67.098,-11.995,-66.124,-64.17233333333333
9400000000.0,300000000.0,0.9694,94.16666666666667,-0.04366666666666667,0.08099999999999999,-68.128,-67.24,-12.121,-62.81666666666667,-64.05733333333333
9400000000.0,350000000.0,0.9682666666666667,93.83333333333334,-0.04366666666666667,0.08233333333333331,-66.737,-65.93633333333334,-12.151,-59.407333333333334,-62.269000000000005
9400000000.0,400000000.0,0.9631666666666667,93.66666666666667,-0.04366666666666667,0.08233333333333331,-65.09700000000001,-67.38033333333334,-12.617,-57.58,-65.11166666666666
9400000000.0,450000000.0,0.9495666666666668,93.83333333333334,-0.04366666666666667,0.08299999999999999,-67.36166666666666,-66.127,-12.717,-54.70133333333333,-63.251333333333335
9400000000.0,500000000.0,0.9410666666666666,93.83333333333334,-0.04366666666666667,0.08299999999999999,-65.418,-68.35033333333332,-12.762,-52.45166666666667,-62.81733333333334
9500000000.0,50000000.0,0.9773333333333334,94.16666666666667,-0.05066666666666667,0.06766666666666667,-64.75066666666666,-62.95033333333333,-9.736,-63.957,-64.406
9500000000.0,100000000.0,0.9728,94.16666666666667,-0.052000000000000005,0.06766666666666667,-66.88533333333334,-65.36133333333333,-11.988,-65.48733333333334,-67.49133333333333
9500000000.0,150000000.0,0.9750666666666666,94.16666666666667,-0.052000000000000005,0.06766666666666667,-67.727,-65.46866666666666,-12.09,-65.402,-67.63533333333334
